Analyze That;['Comedy', 'Crime'];['Peter Steinfeld', 'Harold Ramis', 'Peter Tolan', 'Kenneth Longeran'];Analyze_That;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Analyze_That.txt
Analyze This;['Comedy', 'Crime'];['Peter Tolan', 'Harold Ramis', 'Kenneth Lonergan'];Analyze_This;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Analyze_This.txt
Anastasia;['Family', 'Animation', 'Musical'];['Susan Gauthier', 'Bruce Graham'];Anastasia;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Anastasia.txt
Angel Eyes;['Drama', 'Romance'];['Gerald DiPego'];Angel_Eyes;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Angel_Eyes.txt
Angels & Demons;['Drama', 'Mystery', 'Thriller'];['David Koepp', 'Akiva Goldsman'];Angels_&_Demons;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Angels_&_Demons.txt
Anna Karenina;['Drama'];['Tom Stoppard'];Anna_Karenina;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Anna_Karenina.txt
Annie Hall;['Comedy', 'Romance'];['Woody Allen', 'Marshall Brickman'];Annie_Hall;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Annie_Hall.txt
Anniversary Party, The;['Drama'];['Alan Cummings', 'Jennifer Jason Leigh'];Anniversary_Party;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Anniversary_Party.txt
Anonymous;['Drama', 'Thriller'];['John Orloff'];Anonymous;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Anonymous.txt
Antitrust;['Thriller', 'Crime', 'Drama'];['Howard Franklin'];Antitrust;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Antitrust.txt
Antz;['Adventure', 'Animation', 'Comedy', 'Fantasy'];['Todd Alcott', 'Chris Weitz', 'Paul Weitz'];Antz;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Antz.txt
Apartment, The;['Comedy'];['Billy Wilder', 'I.A.L Diamond'];Apartment;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Apartment.txt
Apocalypse Now;['Action', 'Drama', 'War'];['Francis Ford Coppola', 'John Milius', 'Joseph Conrad'];Apocalypse_Now;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Apocalypse_Now.txt
Apollo 13;['Drama', 'Adventure'];['Jim Lovell', 'Jeffrey Kluger', 'William Broyles Jr.', 'Al Reinert'];Apollo_13;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Apollo_13.txt
April Fool's Day;['Comedy', 'Horror', 'Mystery'];['Danilo Bach'];April_Fool's_Day;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/April_Fool's_Day.txt
Apt Pupil;['Drama', 'Thriller'];['Brandon Boyce'];Apt_Pupil;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Apt_Pupil.txt
Arbitrage;['Drama', 'Thriller'];['Nicholas Jarecki'];Arbitrage;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Arbitrage.txt
Arcade;['Sci-Fi'];['David S. Goyer'];Arcade;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Arcade.txt
Arctic Blue;['Action', 'Thriller'];['Ross LaManna'];Arctic_Blue;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Arctic_Blue.txt
Argo;['Drama', 'Thriller'];['Chris Terrio'];Argo;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Argo.txt
Armageddon;['Action', 'Sci-Fi', 'Thriller'];['Jonathan Hensleigh', 'J.J. Abrams'];Armageddon;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Armageddon.txt
Army of Darkness;['Adventure', 'Fantasy', 'Action', 'Comedy', 'Horror'];['Sam Raimi', 'Ivan Raimi'];Army_of_Darkness;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Army_of_Darkness.txt
Arsenic and Old Lace;['Comedy', 'Crime'];['Julius J. Epstein', 'Philip G. Epstein', 'Joseph Kesselring'];Arsenic_and_Old_Lace;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Arsenic_and_Old_Lace.txt
Arthur;['Comedy'];['Peter Baynham'];Arthur;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Arthur.txt
Artist, The;['Romance', 'Comedy', 'Drama'];['Michel Hazanavicius'];Artist;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Artist.txt
As Good As It Gets;['Comedy', 'Drama', 'Romance'];['Mark Andrus', 'James L. Brooks'];As_Good_As_It_Gets;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/As_Good_As_It_Gets.txt
Assassins;['Action', 'Thriller'];['Larry Wachowski', 'Andy Wachowski'];Assassins;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Assassins.txt
Assignment, The;['Thriller'];['Dan Gordon', 'Sabi H. Shabtai'];Assignment;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Assignment.txt
At First Sight;['Drama'];['Oliver Sacks', 'Steve Levitt', 'Irwin Winkler', 'Rob Cowan'];At_First_Sight;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/At_First_Sight.txt
August: Osage County;['Drama'];['Tracy Letts'];August:_Osage_County;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/August:_Osage_County.txt
Austin Powers - International Man of Mystery;['Action', 'Comedy'];['Mike Myers'];Austin_Powers_-_International_Man_of_Mystery;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Austin_Powers_-_International_Man_of_Mystery.txt
